Marque,Modèle,Année,Kilométrage,Energie,Puissance fiscale,Puissance (ch.din),Cylindrée,Boite vitesse,Catégorie,Prix
volkswagen,amarok2.0ltdi4x4bvalifedoublecabine,2024,0,diesel,5,170,1996,Automatique,Neuf,199980
landrover,rangeroversport,2021,52400,hybride rechargeable essence,19,400,1590,Automatique,Occasion,338000
nissan,qashqaiepower1.5lnconnecta,2024,0,essence | hybride,8,190,1497,Automatique,Neuf,155900
bmw,série1,2020,134000,diesel,6,116,3000,Manuelle,Occasion,90000
skoda,octavia,2016,174000,essence,8,0,1395,Automatique,Occasion,51000
byd,f3,2022,10000,essence,7,0,1500,Manuelle,Occasion,47000
mercedesbenz,cla200progressive,2024,0,essence,9,163,1332,Automatique,Neuf,191000
dfsk,k02sdoublecabine1.0ldlx,2024,0,essence,5,58,1000,Manuelle,Neuf,41900
renault,clio,2020,138000,diesel,4,0,1498,Manuelle,Occasion,49500
seat,leon,2017,118000,essence,6,0,1197,Manuelle,Occasion,62000
mercedesbenz,classea,2013,174000,essence,6,0,1598,Manuelle,Occasion,56000
ford,transit,2017,256000,diesel,6,0,0,Manuelle,Occasion,38000
mercedesbenz,glc2004maticavantgarde,2024,0,essence | hybride léger,12,204,1999,Automatique,Neuf,301000
bmw,série1,2020,94000,essence,8,136,1500,Automatique,Occasion,125000
volkswagen,golf8,2021,5000,essence,6,110,999,Manuelle,Occasion,85000
audi,a1sportback,2018,47900,essence,6,125,1395,Automatique,Occasion,69000
hyundai,grandi10sedan,2017,150000,essence,5,0,1198,Manuelle,Occasion,30000
volkswagen,passat,2017,87000,essence,7,125,1395,Manuelle,Occasion,72900
mercedesbenz,classea,2012,254000,essence,6,122,1600,Manuelle,Occasion,54000
kia,rioberline,2014,93000,essence,6,85,1200,Manuelle,Occasion,35000
renault,clio,2017,135000,essence,5,0,1100,Manuelle,Occasion,39000
volkswagen,polosedan,2015,58000,essence,5,85,1390,Manuelle,Occasion,41000
toyota,coaster4.2l,2024,0,diesel,11,130,4164,Manuelle,Neuf,243000
mg,gs,2017,48000,essence,9,0,1500,Automatique,Occasion,58000
mercedesbenz,classec,2022,27000,essence,8,0,1599,Automatique,Occasion,159000
volkswagen,golf6,2010,194700,essence,7,0,1197,Automatique,Occasion,42000
peugeot,208,2019,116000,essence,5,0,1199,Manuelle,Occasion,28000
bmw,série1,2009,131766,essence,7,122,1600,Automatique,Occasion,40000
citroën,ds3,2017,92000,essence,5,0,1200,Manuelle,Occasion,30500
volkswagen,golf8,2021,68000,essence,6,110,1000,Manuelle,Occasion,89000
chery,qq,2017,103000,essence,5,69,900,Manuelle,Occasion,21500
mercedesbenz,classec,2020,35000,hybride rechargeable essence,6,211,1998,Automatique,Occasion,205000
iveco,dailysimplecabine,1999,560000,diesel,11,0,899,Manuelle,Occasion,22000
volkswagen,tiguan1.4ltsilife2024,2024,0,essence,8,150,1395,Automatique,Neuf,154980
hyundai,h1,2002,224000,diesel,8,0,2198,Manuelle,Occasion,23000
mercedesbenz,classea,2020,63000,essence,9,163,1300,Automatique,Occasion,144000
mercedesbenz,glccoupé,2020,52000,diesel,11,194,2000,Automatique,Occasion,240000
mercedesbenz,sprintervan,2011,459000,diesel,7,0,2198,Manuelle,Occasion,40000
dfsk,glory5001.5mt,2024,0,essence,7,115,1498,Manuelle,Neuf,67900
toyota,landcruiser3003.5lv6biturboessence4wdvx,2024,0,essence,32,415,3445,Automatique,Neuf,530000
hyundai,veloster,2012,80000,essence,8,132,1591,Automatique,Occasion,45000
mg,31.5lbva2024luxe,2024,0,essence,6,110,1498,Automatique,Neuf,69950
chery,tiggo7pro,2021,44000,essence,9,0,1500,Automatique,Occasion,78000
mercedesbenz,cla,2024,0,essence,8,163,2000,Automatique,Occasion,220000
